0 1.000000e+01
1 1.117699e+00
2 3.023422e-01
3 1.249781e-01
4 6.400289e-02
5 3.693108e-02
6 2.279344e-02
7 1.479018e-02
8 7.887941e-02
9 9.387266e-03
10 6.605400e-03
11 1.437430e-02
12 3.779539e-03
13 3.763176e-03
14 2.889994e-03
15 4.301554e-02
16 1.361578e-03
17 2.377733e-03
18 8.093444e-04
19 6.488478e-04
20 5.599390e-04
21 1.377062e-03
22 1.472879e-03
23 2.229174e-04
24 1.686774e-04
25 1.404675e-04
26 7.057163e-05
27 7.976420e-05
28 1.334004e-04
29 4.761588e-04
30 3.921928e-04
31 2.399776e-05
32 2.026055e-05
33 1.612302e-05
34 1.668249e-05
35 5.328175e-06
36 3.035279e-05
37 6.579323e-06
38 2.364818e-05
39 1.690153e-06
40 6.243533e-06
41 3.873668e-06
42 6.639590e-07
43 1.429328e-05
44 1.157621e-06
45 2.893139e-07
46 3.328838e-07
47 1.395661e-06
48 7.767916e-07
49 1.404994e-07
